 X,    Y,   CNA  
    0.00000E+00,    0.10000E+03,    0.42754E+07
    0.00000E+00,    0.98000E+02,    0.00000E+00
    0.00000E+00,    0.96000E+02,    0.23806E+08
    0.00000E+00,    0.94000E+02,    0.49709E+08
    0.00000E+00,    0.92000E+02,    0.71684E+08
    0.00000E+00,    0.90000E+02,    0.86185E+08
    0.00000E+00,    0.88000E+02,    0.93026E+08
    0.00000E+00,    0.86000E+02,    0.95834E+08
    0.00000E+00,    0.84000E+02,    0.96761E+08
    0.00000E+00,    0.82000E+02,    0.97159E+08
    0.00000E+00,    0.80000E+02,    0.97473E+08
    0.00000E+00,    0.78010E+02,    0.97853E+08
    0.00000E+00,    0.76010E+02,    0.98389E+08
    0.00000E+00,    0.74010E+02,    0.99163E+08
    0.00000E+00,    0.72010E+02,    0.10033E+09
    0.00000E+00,    0.70010E+02,    0.10214E+09
    0.00000E+00,    0.68010E+02,    0.10508E+09
    0.00000E+00,    0.66010E+02,    0.11141E+09
    0.00000E+00,    0.64010E+02,    0.12662E+09
    0.00000E+00,    0.62010E+02,    0.12589E+09
    0.00000E+00,    0.60010E+02,    0.00000E+00
    0.50000E+00,    0.60000E+02,    0.00000E+00
    0.10000E+01,    0.59960E+02,    0.00000E+00
    0.14900E+01,    0.59900E+02,    0.00000E+00
    0.19800E+01,    0.59810E+02,    0.00000E+00
    0.24700E+01,    0.59700E+02,    0.00000E+00
    0.29500E+01,    0.59570E+02,    0.00000E+00
    0.34200E+01,    0.59410E+02,    0.00000E+00
    0.38900E+01,    0.59220E+02,    0.00000E+00
    0.43400E+01,    0.59020E+02,    0.00000E+00
    0.47900E+01,    0.58790E+02,    0.00000E+00
    0.52200E+01,    0.58540E+02,    0.00000E+00
    0.56400E+01,    0.58270E+02,    0.00000E+00
    0.60400E+01,    0.57980E+02,    0.00000E+00
    0.64300E+01,    0.57670E+02,    0.00000E+00
    0.68100E+01,    0.57340E+02,    0.11376E+08
    0.71700E+01,    0.56990E+02,    0.33233E+08
    0.75100E+01,    0.56620E+02,    0.50559E+08
    0.78300E+01,    0.56240E+02,    0.68966E+08
    0.81300E+01,    0.55840E+02,    0.84024E+08
    0.84100E+01,    0.55430E+02,    0.99365E+08
    0.86700E+01,    0.55010E+02,    0.11898E+09
    0.89100E+01,    0.54570E+02,    0.13047E+09
    0.91200E+01,    0.54120E+02,    0.13730E+09
    0.93200E+01,    0.53660E+02,    0.14390E+09
    0.94900E+01,    0.53190E+02,    0.14884E+09
    0.96400E+01,    0.52710E+02,    0.14900E+09
    0.97600E+01,    0.52230E+02,    0.14551E+09
    0.98600E+01,    0.51740E+02,    0.14075E+09
    0.99300E+01,    0.51240E+02,    0.13506E+09
    0.99800E+01,    0.50750E+02,    0.12832E+09
    0.10010E+02,    0.50250E+02,    0.11974E+09
    0.10010E+02,    0.49750E+02,    0.10988E+09
    0.99800E+01,    0.49250E+02,    0.10011E+09
    0.99300E+01,    0.48760E+02,    0.91190E+08
    0.98600E+01,    0.48260E+02,    0.82386E+08
    0.97600E+01,    0.47770E+02,    0.74016E+08
    0.96400E+01,    0.47290E+02,    0.66621E+08
    0.94900E+01,    0.46810E+02,    0.59624E+08
    0.93200E+01,    0.46340E+02,    0.54682E+08
    0.91200E+01,    0.45880E+02,    0.51175E+08
    0.89100E+01,    0.45430E+02,    0.47158E+08
    0.86700E+01,    0.44990E+02,    0.44013E+08
    0.84100E+01,    0.44570E+02,    0.43892E+08
    0.81300E+01,    0.44160E+02,    0.43838E+08
    0.78300E+01,    0.43760E+02,    0.43499E+08
    0.75100E+01,    0.43380E+02,    0.44580E+08
    0.71700E+01,    0.43010E+02,    0.45511E+08
    0.68100E+01,    0.42660E+02,    0.48309E+08
    0.64300E+01,    0.42330E+02,    0.55310E+08
    0.60400E+01,    0.42020E+02,    0.60743E+08
    0.56400E+01,    0.41730E+02,    0.66261E+08
    0.52200E+01,    0.41460E+02,    0.77416E+08
    0.47900E+01,    0.41210E+02,    0.10164E+09
    0.43400E+01,    0.40980E+02,    0.13983E+09
    0.38900E+01,    0.40780E+02,    0.19179E+09
    0.34200E+01,    0.40590E+02,    0.26847E+09
    0.29500E+01,    0.40430E+02,    0.36438E+09
    0.24700E+01,    0.40300E+02,    0.45688E+09
    0.19800E+01,    0.40190E+02,    0.54698E+09
    0.14900E+01,    0.40100E+02,    0.60481E+09
    0.10000E+01,    0.40040E+02,    0.59805E+09
    0.50000E+00,    0.40000E+02,    0.55235E+09
    0.00000E+00,    0.39990E+02,    0.48775E+09
    0.00000E+00,    0.37990E+02,    0.16322E+09
    0.00000E+00,    0.35990E+02,    0.91168E+08
    0.00000E+00,    0.33990E+02,    0.78590E+08
    0.00000E+00,    0.31990E+02,    0.80914E+08
    0.00000E+00,    0.29990E+02,    0.84994E+08
    0.00000E+00,    0.27990E+02,    0.88333E+08
    0.00000E+00,    0.25990E+02,    0.90668E+08
    0.00000E+00,    0.23990E+02,    0.92278E+08
    0.00000E+00,    0.21990E+02,    0.93391E+08
    0.00000E+00,    0.20000E+02,    0.94156E+08
    0.00000E+00,    0.18000E+02,    0.94700E+08
    0.00000E+00,    0.16000E+02,    0.95082E+08
    0.00000E+00,    0.14000E+02,    0.95361E+08
    0.00000E+00,    0.12000E+02,    0.95567E+08
    0.00000E+00,    0.10000E+02,    0.95755E+08
    0.00000E+00,    0.80000E+01,    0.95889E+08
    0.00000E+00,    0.60000E+01,    0.96024E+08
    0.00000E+00,    0.40000E+01,    0.96110E+08
    0.00000E+00,    0.20000E+01,    0.96094E+08
    0.00000E+00,    0.00000E+00,    0.96320E+08
    0.10000E+02,    0.00000E+00,    0.96320E+08
    0.20000E+02,    0.00000E+00,    0.96320E+08
    0.30000E+02,    0.00000E+00,    0.96320E+08
    0.40000E+02,    0.00000E+00,    0.96320E+08
    0.50000E+02,    0.00000E+00,    0.96320E+08
    0.50000E+02,    0.90900E+01,    0.96472E+08
    0.50000E+02,    0.18180E+02,    0.96563E+08
    0.50000E+02,    0.27270E+02,    0.96608E+08
    0.50000E+02,    0.36360E+02,    0.96555E+08
    0.50000E+02,    0.45450E+02,    0.96364E+08
    0.50000E+02,    0.54550E+02,    0.96128E+08
    0.50000E+02,    0.63640E+02,    0.95890E+08
    0.50000E+02,    0.72730E+02,    0.94792E+08
    0.50000E+02,    0.81820E+02,    0.86643E+08
    0.50000E+02,    0.90910E+02,    0.52945E+08
    0.50000E+02,    0.10000E+03,    0.34046E+07
    0.40000E+02,    0.10000E+03,    0.36953E+07
    0.30000E+02,    0.10000E+03,    0.41279E+07
    0.20000E+02,    0.10000E+03,    0.46791E+07
    0.10000E+02,    0.10000E+03,    0.46833E+07
    0.74800E+01,    0.93610E+02,    0.77850E+08
    0.33500E+01,    0.94260E+02,    0.44080E+08
    0.25900E+01,    0.93180E+02,    0.55999E+08
    0.22900E+01,    0.91640E+02,    0.74414E+08
    0.24900E+01,    0.89890E+02,    0.87354E+08
    0.23200E+01,    0.87770E+02,    0.94028E+08
    0.21700E+01,    0.85770E+02,    0.96053E+08
    0.20400E+01,    0.83820E+02,    0.96749E+08
    0.20100E+01,    0.81910E+02,    0.97074E+08
    0.20100E+01,    0.79960E+02,    0.97344E+08
    0.20200E+01,    0.78000E+02,    0.97673E+08
    0.20400E+01,    0.76000E+02,    0.98130E+08
    0.20600E+01,    0.74000E+02,    0.98794E+08
    0.20800E+01,    0.71970E+02,    0.99779E+08
    0.21000E+01,    0.69940E+02,    0.10132E+09
    0.21300E+01,    0.67880E+02,    0.10378E+09
    0.21700E+01,    0.65750E+02,    0.10906E+09
    0.22800E+01,    0.63340E+02,    0.11745E+09
    0.14700E+01,    0.61230E+02,    0.10604E+09
    0.13900E+01,    0.60510E+02,    0.46345E+08
    0.17100E+01,    0.60340E+02,    0.35205E+08
    0.21500E+01,    0.60230E+02,    0.33562E+08
    0.26400E+01,    0.60180E+02,    0.43728E+08
    0.30900E+01,    0.59980E+02,    0.37079E+08
    0.35700E+01,    0.59840E+02,    0.41545E+08
    0.40700E+01,    0.59740E+02,    0.52636E+08
    0.45400E+01,    0.59450E+02,    0.46557E+08
    0.50300E+01,    0.59180E+02,    0.45968E+08
    0.55000E+01,    0.58880E+02,    0.44324E+08
    0.58700E+01,    0.58570E+02,    0.38957E+08
    0.62500E+01,    0.58310E+02,    0.40254E+08
    0.66700E+01,    0.58030E+02,    0.45352E+08
    0.70700E+01,    0.57710E+02,    0.50927E+08
    0.74400E+01,    0.57380E+02,    0.57719E+08
    0.78000E+01,    0.57050E+02,    0.65825E+08
    0.81900E+01,    0.56730E+02,    0.73058E+08
    0.86000E+01,    0.56360E+02,    0.78888E+08
    0.90800E+01,    0.55870E+02,    0.82733E+08
    0.91900E+01,    0.55260E+02,    0.90586E+08
    0.93800E+01,    0.54770E+02,    0.97894E+08
    0.95700E+01,    0.54290E+02,    0.10424E+09
    0.97500E+01,    0.53820E+02,    0.10886E+09
    0.99200E+01,    0.53360E+02,    0.11219E+09
    0.10110E+02,    0.52930E+02,    0.11211E+09
    0.10430E+02,    0.52500E+02,    0.10517E+09
    0.10510E+02,    0.51860E+02,    0.10984E+09
    0.10560E+02,    0.51280E+02,    0.11197E+09
    0.10580E+02,    0.50740E+02,    0.11226E+09
    0.10570E+02,    0.50210E+02,    0.11134E+09
    0.10550E+02,    0.49690E+02,    0.10895E+09
    0.10510E+02,    0.49180E+02,    0.10517E+09
    0.10450E+02,    0.48670E+02,    0.10023E+09
    0.10380E+02,    0.48160E+02,    0.95091E+08
    0.10290E+02,    0.47650E+02,    0.89782E+08
    0.10170E+02,    0.47130E+02,    0.84127E+08
    0.10020E+02,    0.46610E+02,    0.78588E+08
    0.98400E+01,    0.46090E+02,    0.73144E+08
    0.95800E+01,    0.45670E+02,    0.66207E+08
    0.94000E+01,    0.45220E+02,    0.63316E+08
    0.92000E+01,    0.44710E+02,    0.61575E+08
    0.89500E+01,    0.44120E+02,    0.61252E+08
    0.85000E+01,    0.43800E+02,    0.55093E+08
    0.81700E+01,    0.43440E+02,    0.53553E+08
    0.78400E+01,    0.43070E+02,    0.53277E+08
    0.74900E+01,    0.42690E+02,    0.54264E+08
    0.71300E+01,    0.42340E+02,    0.56402E+08
    0.67600E+01,    0.42000E+02,    0.60240E+08
    0.64200E+01,    0.41650E+02,    0.65470E+08
    0.61200E+01,    0.41190E+02,    0.73265E+08
    0.55300E+01,    0.40880E+02,    0.82865E+08
    0.50000E+01,    0.40600E+02,    0.10061E+09
    0.44700E+01,    0.40390E+02,    0.12804E+09
    0.39800E+01,    0.40110E+02,    0.16066E+09
    0.35000E+01,    0.40070E+02,    0.20983E+09
    0.30300E+01,    0.39950E+02,    0.26311E+09
    0.25800E+01,    0.39750E+02,    0.29002E+09
    0.21100E+01,    0.39720E+02,    0.35108E+09
    0.16800E+01,    0.39630E+02,    0.37782E+09
    0.13600E+01,    0.39460E+02,    0.36069E+09
    0.13900E+01,    0.38710E+02,    0.17044E+09
    0.20200E+01,    0.36550E+02,    0.89462E+08
    0.19500E+01,    0.34220E+02,    0.81116E+08
    0.19700E+01,    0.32140E+02,    0.83359E+08
    0.20300E+01,    0.30110E+02,    0.87015E+08
    0.20600E+01,    0.28060E+02,    0.89770E+08
    0.20500E+01,    0.26030E+02,    0.91698E+08
    0.20500E+01,    0.24010E+02,    0.93001E+08
    0.20300E+01,    0.22000E+02,    0.93889E+08
    0.20300E+01,    0.20020E+02,    0.94512E+08
    0.20200E+01,    0.18020E+02,    0.94952E+08
    0.20400E+01,    0.16070E+02,    0.95268E+08
    0.20900E+01,    0.14060E+02,    0.95507E+08
    0.21800E+01,    0.12040E+02,    0.95690E+08
    0.22600E+01,    0.99500E+01,    0.95818E+08
    0.20900E+01,    0.82700E+01,    0.95943E+08
    0.23900E+01,    0.67800E+01,    0.96022E+08
    0.31200E+01,    0.57300E+01,    0.96027E+08
    0.69700E+01,    0.63700E+01,    0.96214E+08
    0.17790E+02,    0.96500E+01,    0.96265E+08
    0.28170E+02,    0.93600E+01,    0.96344E+08
    0.38550E+02,    0.10610E+02,    0.96370E+08
    0.40750E+02,    0.19280E+02,    0.96437E+08
    0.40580E+02,    0.28190E+02,    0.96452E+08
    0.40800E+02,    0.36670E+02,    0.96418E+08
    0.41780E+02,    0.44870E+02,    0.96357E+08
    0.41340E+02,    0.53300E+02,    0.96249E+08
    0.40710E+02,    0.62540E+02,    0.96165E+08
    0.41260E+02,    0.71900E+02,    0.95827E+08
    0.40920E+02,    0.80550E+02,    0.93390E+08
    0.38650E+02,    0.89370E+02,    0.80691E+08
    0.28400E+02,    0.90830E+02,    0.74527E+08
    0.18530E+02,    0.91200E+02,    0.77422E+08
    0.37810E+02,    0.46200E+02,    0.96370E+08
    0.35150E+02,    0.46520E+02,    0.96370E+08
    0.32920E+02,    0.46680E+02,    0.96367E+08
    0.30860E+02,    0.46990E+02,    0.96392E+08
    0.29470E+02,    0.46890E+02,    0.96406E+08
    0.28330E+02,    0.46900E+02,    0.96407E+08
    0.27230E+02,    0.46940E+02,    0.96427E+08
    0.26180E+02,    0.47020E+02,    0.96437E+08
    0.25260E+02,    0.47090E+02,    0.96449E+08
    0.24390E+02,    0.47180E+02,    0.96449E+08
    0.23500E+02,    0.47260E+02,    0.96449E+08
    0.22570E+02,    0.47380E+02,    0.96445E+08
    0.21670E+02,    0.47500E+02,    0.96445E+08
    0.20940E+02,    0.47690E+02,    0.96363E+08
    0.20270E+02,    0.47710E+02,    0.96350E+08
    0.19560E+02,    0.47740E+02,    0.96347E+08
    0.18830E+02,    0.47780E+02,    0.96319E+08
    0.18070E+02,    0.47850E+02,    0.96268E+08
    0.17320E+02,    0.47900E+02,    0.96172E+08
    0.16700E+02,    0.47860E+02,    0.96164E+08
    0.16120E+02,    0.47960E+02,    0.95968E+08
    0.15510E+02,    0.48080E+02,    0.95699E+08
    0.14910E+02,    0.48220E+02,    0.95367E+08
    0.14300E+02,    0.48300E+02,    0.95192E+08
    0.13680E+02,    0.48330E+02,    0.95304E+08
    0.13150E+02,    0.48280E+02,    0.96009E+08
    0.12640E+02,    0.48330E+02,    0.96883E+08
    0.12100E+02,    0.48410E+02,    0.98331E+08
    0.11550E+02,    0.48500E+02,    0.10035E+09
    0.10990E+02,    0.48590E+02,    0.10197E+09
    0.33820E+02,    0.26430E+02,    0.96510E+08
    0.29040E+02,    0.28540E+02,    0.96585E+08
    0.25300E+02,    0.27620E+02,    0.96696E+08
    0.22160E+02,    0.27430E+02,    0.96660E+08
    0.19320E+02,    0.27190E+02,    0.96592E+08
    0.16420E+02,    0.27770E+02,    0.96307E+08
    0.13100E+02,    0.27070E+02,    0.95758E+08
    0.10610E+02,    0.27940E+02,    0.94870E+08
    0.83800E+01,    0.28070E+02,    0.93445E+08
    0.62800E+01,    0.28200E+02,    0.92228E+08
    0.41300E+01,    0.28140E+02,    0.90845E+08
    0.33800E+02,    0.20440E+02,    0.96451E+08
    0.29390E+02,    0.18690E+02,    0.96421E+08
    0.25700E+02,    0.18420E+02,    0.96383E+08
    0.22360E+02,    0.18100E+02,    0.96312E+08
    0.19170E+02,    0.18090E+02,    0.96206E+08
    0.16210E+02,    0.18240E+02,    0.96061E+08
    0.13070E+02,    0.18600E+02,    0.95900E+08
    0.10190E+02,    0.17440E+02,    0.95721E+08
    0.79900E+01,    0.17980E+02,    0.95375E+08
    0.60000E+01,    0.18040E+02,    0.95202E+08
    0.40400E+01,    0.18080E+02,    0.95068E+08
    0.18820E+02,    0.14410E+02,    0.96189E+08
    0.16160E+02,    0.15290E+02,    0.96060E+08
    0.13570E+02,    0.15430E+02,    0.95975E+08
    0.10890E+02,    0.14750E+02,    0.95960E+08
    0.84700E+01,    0.13180E+02,    0.95795E+08
    0.63900E+01,    0.12720E+02,    0.95753E+08
    0.43700E+01,    0.12100E+02,    0.95743E+08
    0.47900E+01,    0.95600E+01,    0.95945E+08
    0.37500E+01,    0.83100E+01,    0.95937E+08
    0.43600E+01,    0.71700E+01,    0.96024E+08
    0.87400E+01,    0.10690E+02,    0.95845E+08
    0.12900E+02,    0.12060E+02,    0.96084E+08
    0.16050E+02,    0.12710E+02,    0.96096E+08
    0.14170E+02,    0.13480E+02,    0.95882E+08
    0.66400E+01,    0.10940E+02,    0.95603E+08
    0.79000E+01,    0.14870E+02,    0.95638E+08
    0.77300E+01,    0.16310E+02,    0.95546E+08
    0.40400E+01,    0.16130E+02,    0.95345E+08
    0.59800E+01,    0.16280E+02,    0.95430E+08
    0.41500E+01,    0.14220E+02,    0.95563E+08
    0.61000E+01,    0.14470E+02,    0.95594E+08
    0.90800E+01,    0.16410E+02,    0.95585E+08
    0.92800E+01,    0.15260E+02,    0.95637E+08
    0.29230E+02,    0.14630E+02,    0.96368E+08
    0.22090E+02,    0.15020E+02,    0.96307E+08
    0.25580E+02,    0.14950E+02,    0.96347E+08
    0.25130E+02,    0.12260E+02,    0.96411E+08
    0.21700E+02,    0.12210E+02,    0.96089E+08
    0.33900E+02,    0.15120E+02,    0.96492E+08
    0.22380E+02,    0.21390E+02,    0.96391E+08
    0.22330E+02,    0.24340E+02,    0.96501E+08
    0.99500E+01,    0.19870E+02,    0.95320E+08
    0.99300E+01,    0.21830E+02,    0.95142E+08
    0.10000E+02,    0.23910E+02,    0.94893E+08
    0.10110E+02,    0.25830E+02,    0.94767E+08
    0.60400E+01,    0.20010E+02,    0.94888E+08
    0.60600E+01,    0.21960E+02,    0.94480E+08
    0.61100E+01,    0.24010E+02,    0.93923E+08
    0.61700E+01,    0.26040E+02,    0.93165E+08
    0.40600E+01,    0.22010E+02,    0.94167E+08
    0.40800E+01,    0.24000E+02,    0.93428E+08
    0.41200E+01,    0.26060E+02,    0.92389E+08
    0.40400E+01,    0.20000E+02,    0.94689E+08
    0.80400E+01,    0.21950E+02,    0.94825E+08
    0.82000E+01,    0.25990E+02,    0.93993E+08
    0.80800E+01,    0.23920E+02,    0.94451E+08
    0.80000E+01,    0.19890E+02,    0.95088E+08
    0.16450E+02,    0.21410E+02,    0.96070E+08
    0.16480E+02,    0.24370E+02,    0.96115E+08
    0.13810E+02,    0.24260E+02,    0.95812E+08
    0.13760E+02,    0.21450E+02,    0.95776E+08
    0.11800E+02,    0.23850E+02,    0.95226E+08
    0.11790E+02,    0.21860E+02,    0.95418E+08
    0.11590E+02,    0.20030E+02,    0.95443E+08
    0.11700E+02,    0.25640E+02,    0.95047E+08
    0.19340E+02,    0.21200E+02,    0.96249E+08
    0.19370E+02,    0.24380E+02,    0.96365E+08
    0.28680E+02,    0.21890E+02,    0.96456E+08
    0.28620E+02,    0.24750E+02,    0.96542E+08
    0.25570E+02,    0.21430E+02,    0.96450E+08
    0.25430E+02,    0.24670E+02,    0.96567E+08
    0.31200E+02,    0.24570E+02,    0.96508E+08
    0.31270E+02,    0.22130E+02,    0.96555E+08
    0.21730E+02,    0.30150E+02,    0.96842E+08
    0.22180E+02,    0.32500E+02,    0.97165E+08
    0.22100E+02,    0.34270E+02,    0.97382E+08
    0.21910E+02,    0.36000E+02,    0.97587E+08
    0.21590E+02,    0.37610E+02,    0.97753E+08
    0.21910E+02,    0.39010E+02,    0.97913E+08
    0.21970E+02,    0.40130E+02,    0.97881E+08
    0.22010E+02,    0.41260E+02,    0.97814E+08
    0.22070E+02,    0.42370E+02,    0.97691E+08
    0.22230E+02,    0.43470E+02,    0.97474E+08
    0.22330E+02,    0.44480E+02,    0.97246E+08
    0.22380E+02,    0.45480E+02,    0.96994E+08
    0.22430E+02,    0.46440E+02,    0.96720E+08
    0.13140E+02,    0.29970E+02,    0.95886E+08
    0.13180E+02,    0.31490E+02,    0.96291E+08
    0.13290E+02,    0.32770E+02,    0.96838E+08
    0.13340E+02,    0.34040E+02,    0.97611E+08
    0.13400E+02,    0.35300E+02,    0.98626E+08
    0.13380E+02,    0.36470E+02,    0.99856E+08
    0.13350E+02,    0.37490E+02,    0.10113E+09
    0.13350E+02,    0.38440E+02,    0.10239E+09
    0.13390E+02,    0.39340E+02,    0.10356E+09
    0.13410E+02,    0.40200E+02,    0.10455E+09
    0.13440E+02,    0.41040E+02,    0.10528E+09
    0.13440E+02,    0.41830E+02,    0.10570E+09
    0.13420E+02,    0.42590E+02,    0.10578E+09
    0.13350E+02,    0.43400E+02,    0.10547E+09
    0.13610E+02,    0.44110E+02,    0.10462E+09
    0.13720E+02,    0.44760E+02,    0.10357E+09
    0.13760E+02,    0.45400E+02,    0.10242E+09
    0.13780E+02,    0.46040E+02,    0.10106E+09
    0.13760E+02,    0.46650E+02,    0.99658E+08
    0.13730E+02,    0.47220E+02,    0.98246E+08
    0.13710E+02,    0.47760E+02,    0.96811E+08
    0.38000E+01,    0.34200E+02,    0.82588E+08
    0.55100E+01,    0.34260E+02,    0.85879E+08
    0.70600E+01,    0.34350E+02,    0.89398E+08
    0.84200E+01,    0.34260E+02,    0.92284E+08
    0.97000E+01,    0.34120E+02,    0.94507E+08
    0.10910E+02,    0.34010E+02,    0.95961E+08
    0.12140E+02,    0.34030E+02,    0.97002E+08
    0.98000E+01,    0.35450E+02,    0.95650E+08
    0.99800E+01,    0.36650E+02,    0.97425E+08
    0.10130E+02,    0.37780E+02,    0.99425E+08
    0.10390E+02,    0.38680E+02,    0.10113E+09
    0.10470E+02,    0.39540E+02,    0.10205E+09
    0.10540E+02,    0.40430E+02,    0.10241E+09
    0.10640E+02,    0.41300E+02,    0.10206E+09
    0.10770E+02,    0.42240E+02,    0.10129E+09
    0.10490E+02,    0.43030E+02,    0.96121E+08
    0.10420E+02,    0.43750E+02,    0.92366E+08
    0.10450E+02,    0.44420E+02,    0.90316E+08
    0.10480E+02,    0.45050E+02,    0.89226E+08
    0.10400E+02,    0.45730E+02,    0.87283E+08
    0.10600E+02,    0.46390E+02,    0.91204E+08
    0.10730E+02,    0.46980E+02,    0.94543E+08
    0.10840E+02,    0.47530E+02,    0.97511E+08
    0.10920E+02,    0.48070E+02,    0.99988E+08
    0.38400E+01,    0.36110E+02,    0.84249E+08
    0.54900E+01,    0.36010E+02,    0.85529E+08
    0.71500E+01,    0.36130E+02,    0.90160E+08
    0.85600E+01,    0.35670E+02,    0.93404E+08
    0.27100E+01,    0.39050E+02,    0.17038E+09
    0.40500E+01,    0.39230E+02,    0.11872E+09
    0.54400E+01,    0.39060E+02,    0.92288E+08
    0.65800E+01,    0.38860E+02,    0.88857E+08
    0.75600E+01,    0.39030E+02,    0.90555E+08
    0.85200E+01,    0.39470E+02,    0.94791E+08
    0.95500E+01,    0.39590E+02,    0.98712E+08
    0.99100E+01,    0.45060E+02,    0.77614E+08
    0.95900E+01,    0.40500E+02,    0.97691E+08
    0.97100E+01,    0.41380E+02,    0.95360E+08
    0.98000E+01,    0.42210E+02,    0.91907E+08
    0.96500E+01,    0.43000E+02,    0.85044E+08
    0.96100E+01,    0.43790E+02,    0.78493E+08
    0.98000E+01,    0.44500E+02,    0.77482E+08
    0.52000E+01,    0.39950E+02,    0.97945E+08
    0.57900E+01,    0.40260E+02,    0.85683E+08
    0.64800E+01,    0.40540E+02,    0.80037E+08
    0.72700E+01,    0.40590E+02,    0.81277E+08
    0.79300E+01,    0.40490E+02,    0.85123E+08
    0.86100E+01,    0.40600E+02,    0.90757E+08
    0.91300E+01,    0.43240E+02,    0.73414E+08
    0.87900E+01,    0.43490E+02,    0.64339E+08
    0.67500E+01,    0.41390E+02,    0.69247E+08
    0.70100E+01,    0.41070E+02,    0.74496E+08
    0.73600E+01,    0.41350E+02,    0.72422E+08
    0.77400E+01,    0.41640E+02,    0.71707E+08
    0.82300E+01,    0.41890E+02,    0.74545E+08
    0.85900E+01,    0.42440E+02,    0.72429E+08
    0.88600E+01,    0.42890E+02,    0.71808E+08
    0.78400E+01,    0.42330E+02,    0.63700E+08
    0.74500E+01,    0.42000E+02,    0.64217E+08
    0.70800E+01,    0.41690E+02,    0.66206E+08
    0.81900E+01,    0.42750E+02,    0.62800E+08
