 X,    Y,   V  
    0.00000E+00,    0.10000E+03,    0.50000E+01
    0.00000E+00,    0.98000E+02,    0.49018E+01
    0.00000E+00,    0.96000E+02,    0.48034E+01
    0.00000E+00,    0.94000E+02,    0.47052E+01
    0.00000E+00,    0.92000E+02,    0.46070E+01
    0.00000E+00,    0.90000E+02,    0.45089E+01
    0.00000E+00,    0.88000E+02,    0.44111E+01
    0.00000E+00,    0.86000E+02,    0.43134E+01
    0.00000E+00,    0.84000E+02,    0.42161E+01
    0.00000E+00,    0.82000E+02,    0.41192E+01
    0.00000E+00,    0.80000E+02,    0.40228E+01
    0.00000E+00,    0.78010E+02,    0.39275E+01
    0.00000E+00,    0.76010E+02,    0.38327E+01
    0.00000E+00,    0.74010E+02,    0.37392E+01
    0.00000E+00,    0.72010E+02,    0.36474E+01
    0.00000E+00,    0.70010E+02,    0.35581E+01
    0.00000E+00,    0.68010E+02,    0.34724E+01
    0.00000E+00,    0.66010E+02,    0.33925E+01
    0.00000E+00,    0.64010E+02,    0.33231E+01
    0.00000E+00,    0.62010E+02,    0.32647E+01
    0.00000E+00,    0.60010E+02,    0.32300E+01
    0.50000E+00,    0.60000E+02,    0.32330E+01
    0.10000E+01,    0.59960E+02,    0.32322E+01
    0.14900E+01,    0.59900E+02,    0.32283E+01
    0.19800E+01,    0.59810E+02,    0.32220E+01
    0.24700E+01,    0.59700E+02,    0.32139E+01
    0.29500E+01,    0.59570E+02,    0.32042E+01
    0.34200E+01,    0.59410E+02,    0.31926E+01
    0.38900E+01,    0.59220E+02,    0.31791E+01
    0.43400E+01,    0.59020E+02,    0.31644E+01
    0.47900E+01,    0.58790E+02,    0.31477E+01
    0.52200E+01,    0.58540E+02,    0.31295E+01
    0.56400E+01,    0.58270E+02,    0.31097E+01
    0.60400E+01,    0.57980E+02,    0.30881E+01
    0.64300E+01,    0.57670E+02,    0.30653E+01
    0.68100E+01,    0.57340E+02,    0.30410E+01
    0.71700E+01,    0.56990E+02,    0.30151E+01
    0.75100E+01,    0.56620E+02,    0.29878E+01
    0.78300E+01,    0.56240E+02,    0.29597E+01
    0.81300E+01,    0.55840E+02,    0.29301E+01
    0.84100E+01,    0.55430E+02,    0.28997E+01
    0.86700E+01,    0.55010E+02,    0.28690E+01
    0.89100E+01,    0.54570E+02,    0.28364E+01
    0.91200E+01,    0.54120E+02,    0.28033E+01
    0.93200E+01,    0.53660E+02,    0.27696E+01
    0.94900E+01,    0.53190E+02,    0.27350E+01
    0.96400E+01,    0.52710E+02,    0.26996E+01
    0.97600E+01,    0.52230E+02,    0.26641E+01
    0.98600E+01,    0.51740E+02,    0.26279E+01
    0.99300E+01,    0.51240E+02,    0.25912E+01
    0.99800E+01,    0.50750E+02,    0.25554E+01
    0.10010E+02,    0.50250E+02,    0.25185E+01
    0.10010E+02,    0.49750E+02,    0.24814E+01
    0.99800E+01,    0.49250E+02,    0.24446E+01
    0.99300E+01,    0.48760E+02,    0.24087E+01
    0.98600E+01,    0.48260E+02,    0.23720E+01
    0.97600E+01,    0.47770E+02,    0.23358E+01
    0.96400E+01,    0.47290E+02,    0.23004E+01
    0.94900E+01,    0.46810E+02,    0.22649E+01
    0.93200E+01,    0.46340E+02,    0.22303E+01
    0.91200E+01,    0.45880E+02,    0.21965E+01
    0.89100E+01,    0.45430E+02,    0.21636E+01
    0.86700E+01,    0.44990E+02,    0.21310E+01
    0.84100E+01,    0.44570E+02,    0.21001E+01
    0.81300E+01,    0.44160E+02,    0.20698E+01
    0.78300E+01,    0.43760E+02,    0.20403E+01
    0.75100E+01,    0.43380E+02,    0.20123E+01
    0.71700E+01,    0.43010E+02,    0.19850E+01
    0.68100E+01,    0.42660E+02,    0.19590E+01
    0.64300E+01,    0.42330E+02,    0.19347E+01
    0.60400E+01,    0.42020E+02,    0.19120E+01
    0.56400E+01,    0.41730E+02,    0.18908E+01
    0.52200E+01,    0.41460E+02,    0.18707E+01
    0.47900E+01,    0.41210E+02,    0.18523E+01
    0.43400E+01,    0.40980E+02,    0.18354E+01
    0.38900E+01,    0.40780E+02,    0.18206E+01
    0.34200E+01,    0.40590E+02,    0.18070E+01
    0.29500E+01,    0.40430E+02,    0.17955E+01
    0.24700E+01,    0.40300E+02,    0.17858E+01
    0.19800E+01,    0.40190E+02,    0.17777E+01
    0.14900E+01,    0.40100E+02,    0.17714E+01
    0.10000E+01,    0.40040E+02,    0.17675E+01
    0.50000E+00,    0.40000E+02,    0.17668E+01
    0.00000E+00,    0.39990E+02,    0.17696E+01
    0.00000E+00,    0.37990E+02,    0.17352E+01
    0.00000E+00,    0.35990E+02,    0.16777E+01
    0.00000E+00,    0.33990E+02,    0.16078E+01
    0.00000E+00,    0.31990E+02,    0.15277E+01
    0.00000E+00,    0.29990E+02,    0.14419E+01
    0.00000E+00,    0.27990E+02,    0.13525E+01
    0.00000E+00,    0.25990E+02,    0.12607E+01
    0.00000E+00,    0.23990E+02,    0.11672E+01
    0.00000E+00,    0.21990E+02,    0.10724E+01
    0.00000E+00,    0.20000E+02,    0.97721E+00
    0.00000E+00,    0.18000E+02,    0.88082E+00
    0.00000E+00,    0.16000E+02,    0.78390E+00
    0.00000E+00,    0.14000E+02,    0.68657E+00
    0.00000E+00,    0.12000E+02,    0.58893E+00
    0.00000E+00,    0.10000E+02,    0.49105E+00
    0.00000E+00,    0.80000E+01,    0.39301E+00
    0.00000E+00,    0.60000E+01,    0.29483E+00
    0.00000E+00,    0.40000E+01,    0.19656E+00
    0.00000E+00,    0.20000E+01,    0.98233E-01
    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.10000E+02,    0.00000E+00,    0.00000E+00
    0.20000E+02,    0.00000E+00,    0.00000E+00
    0.30000E+02,    0.00000E+00,    0.00000E+00
    0.40000E+02,    0.00000E+00,    0.00000E+00
    0.50000E+02,    0.00000E+00,    0.00000E+00
    0.50000E+02,    0.90900E+01,    0.45246E+00
    0.50000E+02,    0.18180E+02,    0.90532E+00
    0.50000E+02,    0.27270E+02,    0.13593E+01
    0.50000E+02,    0.36360E+02,    0.18146E+01
    0.50000E+02,    0.45450E+02,    0.22712E+01
    0.50000E+02,    0.54550E+02,    0.27288E+01
    0.50000E+02,    0.63640E+02,    0.31854E+01
    0.50000E+02,    0.72730E+02,    0.36407E+01
    0.50000E+02,    0.81820E+02,    0.40947E+01
    0.50000E+02,    0.90910E+02,    0.45475E+01
    0.50000E+02,    0.10000E+03,    0.50000E+01
    0.40000E+02,    0.10000E+03,    0.50000E+01
    0.30000E+02,    0.10000E+03,    0.50000E+01
    0.20000E+02,    0.10000E+03,    0.50000E+01
    0.10000E+02,    0.10000E+03,    0.50000E+01
    0.74800E+01,    0.93610E+02,    0.46857E+01
    0.33500E+01,    0.94260E+02,    0.47179E+01
    0.25900E+01,    0.93180E+02,    0.46648E+01
    0.22900E+01,    0.91640E+02,    0.45893E+01
    0.24900E+01,    0.89890E+02,    0.45035E+01
    0.23200E+01,    0.87770E+02,    0.43997E+01
    0.21700E+01,    0.85770E+02,    0.43021E+01
    0.20400E+01,    0.83820E+02,    0.42072E+01
    0.20100E+01,    0.81910E+02,    0.41146E+01
    0.20100E+01,    0.79960E+02,    0.40206E+01
    0.20200E+01,    0.78000E+02,    0.39268E+01
    0.20400E+01,    0.76000E+02,    0.38319E+01
    0.20600E+01,    0.74000E+02,    0.37381E+01
    0.20800E+01,    0.71970E+02,    0.36447E+01
    0.21000E+01,    0.69940E+02,    0.35537E+01
    0.21300E+01,    0.67880E+02,    0.34650E+01
    0.21700E+01,    0.65750E+02,    0.33789E+01
    0.22800E+01,    0.63340E+02,    0.32933E+01
    0.14700E+01,    0.61230E+02,    0.32434E+01
    0.13900E+01,    0.60510E+02,    0.32337E+01
    0.17100E+01,    0.60340E+02,    0.32290E+01
    0.21500E+01,    0.60230E+02,    0.32231E+01
    0.26400E+01,    0.60180E+02,    0.32158E+01
    0.30900E+01,    0.59980E+02,    0.32062E+01
    0.35700E+01,    0.59840E+02,    0.31951E+01
    0.40700E+01,    0.59740E+02,    0.31830E+01
    0.45400E+01,    0.59450E+02,    0.31671E+01
    0.50300E+01,    0.59180E+02,    0.31490E+01
    0.55000E+01,    0.58880E+02,    0.31290E+01
    0.58700E+01,    0.58570E+02,    0.31103E+01
    0.62500E+01,    0.58310E+02,    0.30911E+01
    0.66700E+01,    0.58030E+02,    0.30691E+01
    0.70700E+01,    0.57710E+02,    0.30455E+01
    0.74400E+01,    0.57380E+02,    0.30213E+01
    0.78000E+01,    0.57050E+02,    0.29966E+01
    0.81900E+01,    0.56730E+02,    0.29706E+01
    0.86000E+01,    0.56360E+02,    0.29413E+01
    0.90800E+01,    0.55870E+02,    0.29035E+01
    0.91900E+01,    0.55260E+02,    0.28681E+01
    0.93800E+01,    0.54770E+02,    0.28356E+01
    0.95700E+01,    0.54290E+02,    0.28027E+01
    0.97500E+01,    0.53820E+02,    0.27699E+01
    0.99200E+01,    0.53360E+02,    0.27374E+01
    0.10110E+02,    0.52930E+02,    0.27061E+01
    0.10430E+02,    0.52500E+02,    0.26730E+01
    0.10510E+02,    0.51860E+02,    0.26292E+01
    0.10560E+02,    0.51280E+02,    0.25892E+01
    0.10580E+02,    0.50740E+02,    0.25517E+01
    0.10570E+02,    0.50210E+02,    0.25147E+01
    0.10550E+02,    0.49690E+02,    0.24782E+01
    0.10510E+02,    0.49180E+02,    0.24424E+01
    0.10450E+02,    0.48670E+02,    0.24065E+01
    0.10380E+02,    0.48160E+02,    0.23708E+01
    0.10290E+02,    0.47650E+02,    0.23351E+01
    0.10170E+02,    0.47130E+02,    0.22988E+01
    0.10020E+02,    0.46610E+02,    0.22625E+01
    0.98400E+01,    0.46090E+02,    0.22263E+01
    0.95800E+01,    0.45670E+02,    0.21950E+01
    0.94000E+01,    0.45220E+02,    0.21643E+01
    0.92000E+01,    0.44710E+02,    0.21305E+01
    0.89500E+01,    0.44120E+02,    0.20925E+01
    0.85000E+01,    0.43800E+02,    0.20636E+01
    0.81700E+01,    0.43440E+02,    0.20366E+01
    0.78400E+01,    0.43070E+02,    0.20099E+01
    0.74900E+01,    0.42690E+02,    0.19831E+01
    0.71300E+01,    0.42340E+02,    0.19582E+01
    0.67600E+01,    0.42000E+02,    0.19346E+01
    0.64200E+01,    0.41650E+02,    0.19128E+01
    0.61200E+01,    0.41190E+02,    0.18903E+01
    0.55300E+01,    0.40880E+02,    0.18656E+01
    0.50000E+01,    0.40600E+02,    0.18451E+01
    0.44700E+01,    0.40390E+02,    0.18279E+01
    0.39800E+01,    0.40110E+02,    0.18121E+01
    0.35000E+01,    0.40070E+02,    0.18018E+01
    0.30300E+01,    0.39950E+02,    0.17916E+01
    0.25800E+01,    0.39750E+02,    0.17822E+01
    0.21100E+01,    0.39720E+02,    0.17755E+01
    0.16800E+01,    0.39630E+02,    0.17700E+01
    0.13600E+01,    0.39460E+02,    0.17654E+01
    0.13900E+01,    0.38710E+02,    0.17549E+01
    0.20200E+01,    0.36550E+02,    0.17023E+01
    0.19500E+01,    0.34220E+02,    0.16195E+01
    0.19700E+01,    0.32140E+02,    0.15357E+01
    0.20300E+01,    0.30110E+02,    0.14483E+01
    0.20600E+01,    0.28060E+02,    0.13566E+01
    0.20500E+01,    0.26030E+02,    0.12632E+01
    0.20500E+01,    0.24010E+02,    0.11686E+01
    0.20300E+01,    0.22000E+02,    0.10732E+01
    0.20300E+01,    0.20020E+02,    0.97840E+00
    0.20200E+01,    0.18020E+02,    0.88196E+00
    0.20400E+01,    0.16070E+02,    0.78744E+00
    0.20900E+01,    0.14060E+02,    0.68961E+00
    0.21800E+01,    0.12040E+02,    0.59098E+00
    0.22600E+01,    0.99500E+01,    0.48867E+00
    0.20900E+01,    0.82700E+01,    0.40630E+00
    0.23900E+01,    0.67800E+01,    0.33316E+00
    0.31200E+01,    0.57300E+01,    0.28161E+00
    0.69700E+01,    0.63700E+01,    0.31319E+00
    0.17790E+02,    0.96500E+01,    0.47654E+00
    0.28170E+02,    0.93600E+01,    0.46421E+00
    0.38550E+02,    0.10610E+02,    0.52763E+00
    0.40750E+02,    0.19280E+02,    0.95959E+00
    0.40580E+02,    0.28190E+02,    0.14044E+01
    0.40800E+02,    0.36670E+02,    0.18293E+01
    0.41780E+02,    0.44870E+02,    0.22417E+01
    0.41340E+02,    0.53300E+02,    0.26662E+01
    0.40710E+02,    0.62540E+02,    0.31310E+01
    0.41260E+02,    0.71900E+02,    0.35999E+01
    0.40920E+02,    0.80550E+02,    0.40319E+01
    0.38650E+02,    0.89370E+02,    0.44714E+01
    0.28400E+02,    0.90830E+02,    0.45452E+01
    0.18530E+02,    0.91200E+02,    0.45653E+01
    0.37810E+02,    0.46200E+02,    0.23084E+01
    0.35150E+02,    0.46520E+02,    0.23242E+01
    0.32920E+02,    0.46680E+02,    0.23319E+01
    0.30860E+02,    0.46990E+02,    0.23472E+01
    0.29470E+02,    0.46890E+02,    0.23418E+01
    0.28330E+02,    0.46900E+02,    0.23419E+01
    0.27230E+02,    0.46940E+02,    0.23436E+01
    0.26180E+02,    0.47020E+02,    0.23473E+01
    0.25260E+02,    0.47090E+02,    0.23504E+01
    0.24390E+02,    0.47180E+02,    0.23546E+01
    0.23500E+02,    0.47260E+02,    0.23582E+01
    0.22570E+02,    0.47380E+02,    0.23638E+01
    0.21670E+02,    0.47500E+02,    0.23694E+01
    0.20940E+02,    0.47690E+02,    0.23788E+01
    0.20270E+02,    0.47710E+02,    0.23792E+01
    0.19560E+02,    0.47740E+02,    0.23801E+01
    0.18830E+02,    0.47780E+02,    0.23814E+01
    0.18070E+02,    0.47850E+02,    0.23842E+01
    0.17320E+02,    0.47900E+02,    0.23857E+01
    0.16700E+02,    0.47860E+02,    0.23825E+01
    0.16120E+02,    0.47960E+02,    0.23868E+01
    0.15510E+02,    0.48080E+02,    0.23922E+01
    0.14910E+02,    0.48220E+02,    0.23986E+01
    0.14300E+02,    0.48300E+02,    0.24016E+01
    0.13680E+02,    0.48330E+02,    0.24014E+01
    0.13150E+02,    0.48280E+02,    0.23966E+01
    0.12640E+02,    0.48330E+02,    0.23974E+01
    0.12100E+02,    0.48410E+02,    0.23998E+01
    0.11550E+02,    0.48500E+02,    0.24025E+01
    0.10990E+02,    0.48590E+02,    0.24049E+01
    0.33820E+02,    0.26430E+02,    0.13147E+01
    0.29040E+02,    0.28540E+02,    0.14175E+01
    0.25300E+02,    0.27620E+02,    0.13688E+01
    0.22160E+02,    0.27430E+02,    0.13564E+01
    0.19320E+02,    0.27190E+02,    0.13412E+01
    0.16420E+02,    0.27770E+02,    0.13655E+01
    0.13100E+02,    0.27070E+02,    0.13262E+01
    0.10610E+02,    0.27940E+02,    0.13634E+01
    0.83800E+01,    0.28070E+02,    0.13654E+01
    0.62800E+01,    0.28200E+02,    0.13679E+01
    0.41300E+01,    0.28140E+02,    0.13621E+01
    0.33800E+02,    0.20440E+02,    0.10160E+01
    0.29390E+02,    0.18690E+02,    0.92754E+00
    0.25700E+02,    0.18420E+02,    0.91267E+00
    0.22360E+02,    0.18100E+02,    0.89528E+00
    0.19170E+02,    0.18090E+02,    0.89314E+00
    0.16210E+02,    0.18240E+02,    0.89887E+00
    0.13070E+02,    0.18600E+02,    0.91467E+00
    0.10190E+02,    0.17440E+02,    0.85650E+00
    0.79900E+01,    0.17980E+02,    0.88178E+00
    0.60000E+01,    0.18040E+02,    0.88391E+00
    0.40400E+01,    0.18080E+02,    0.88526E+00
    0.18820E+02,    0.14410E+02,    0.71160E+00
    0.16160E+02,    0.15290E+02,    0.75391E+00
    0.13570E+02,    0.15430E+02,    0.75972E+00
    0.10890E+02,    0.14750E+02,    0.72539E+00
    0.84700E+01,    0.13180E+02,    0.64778E+00
    0.63900E+01,    0.12720E+02,    0.62478E+00
    0.43700E+01,    0.12100E+02,    0.59414E+00
    0.47900E+01,    0.95600E+01,    0.46978E+00
    0.37500E+01,    0.83100E+01,    0.40833E+00
    0.43600E+01,    0.71700E+01,    0.35239E+00
    0.87400E+01,    0.10690E+02,    0.52581E+00
    0.12900E+02,    0.12060E+02,    0.59413E+00
    0.16050E+02,    0.12710E+02,    0.62692E+00
    0.14170E+02,    0.13480E+02,    0.66421E+00
    0.66400E+01,    0.10940E+02,    0.53764E+00
    0.79000E+01,    0.14870E+02,    0.73025E+00
    0.77300E+01,    0.16310E+02,    0.80043E+00
    0.40400E+01,    0.16130E+02,    0.79066E+00
    0.59800E+01,    0.16280E+02,    0.79842E+00
    0.41500E+01,    0.14220E+02,    0.69767E+00
    0.61000E+01,    0.14470E+02,    0.71024E+00
    0.90800E+01,    0.16410E+02,    0.80577E+00
    0.92800E+01,    0.15260E+02,    0.74973E+00
    0.29230E+02,    0.14630E+02,    0.72587E+00
    0.22090E+02,    0.15020E+02,    0.74292E+00
    0.25580E+02,    0.14950E+02,    0.74069E+00
    0.25130E+02,    0.12260E+02,    0.60731E+00
    0.21700E+02,    0.12210E+02,    0.60387E+00
    0.33900E+02,    0.15120E+02,    0.75132E+00
    0.22380E+02,    0.21390E+02,    0.10579E+01
    0.22330E+02,    0.24340E+02,    0.12037E+01
    0.99500E+01,    0.19870E+02,    0.97464E+00
    0.99300E+01,    0.21830E+02,    0.10695E+01
    0.10000E+02,    0.23910E+02,    0.11699E+01
    0.10110E+02,    0.25830E+02,    0.12620E+01
    0.60400E+01,    0.20010E+02,    0.97922E+00
    0.60600E+01,    0.21960E+02,    0.10730E+01
    0.61100E+01,    0.24010E+02,    0.11710E+01
    0.61700E+01,    0.26040E+02,    0.12670E+01
    0.40600E+01,    0.22010E+02,    0.10744E+01
    0.40800E+01,    0.24000E+02,    0.11691E+01
    0.41200E+01,    0.26060E+02,    0.12659E+01
    0.40400E+01,    0.20000E+02,    0.97795E+00
    0.80400E+01,    0.21950E+02,    0.10739E+01
    0.82000E+01,    0.25990E+02,    0.12671E+01
    0.80800E+01,    0.23920E+02,    0.11684E+01
    0.80000E+01,    0.19890E+02,    0.97442E+00
    0.16450E+02,    0.21410E+02,    0.10545E+01
    0.16480E+02,    0.24370E+02,    0.11995E+01
    0.13810E+02,    0.24260E+02,    0.11911E+01
    0.13760E+02,    0.21450E+02,    0.10543E+01
    0.11800E+02,    0.23850E+02,    0.11689E+01
    0.11790E+02,    0.21860E+02,    0.10725E+01
    0.11590E+02,    0.20030E+02,    0.98348E+00
    0.11700E+02,    0.25640E+02,    0.12550E+01
    0.19340E+02,    0.21200E+02,    0.10464E+01
    0.19370E+02,    0.24380E+02,    0.12030E+01
    0.28680E+02,    0.21890E+02,    0.10862E+01
    0.28620E+02,    0.24750E+02,    0.12284E+01
    0.25570E+02,    0.21430E+02,    0.10618E+01
    0.25430E+02,    0.24670E+02,    0.12224E+01
    0.31200E+02,    0.24570E+02,    0.12208E+01
    0.31270E+02,    0.22130E+02,    0.10993E+01
    0.21730E+02,    0.30150E+02,    0.14905E+01
    0.22180E+02,    0.32500E+02,    0.16078E+01
    0.22100E+02,    0.34270E+02,    0.16959E+01
    0.21910E+02,    0.36000E+02,    0.17820E+01
    0.21590E+02,    0.37610E+02,    0.18622E+01
    0.21910E+02,    0.39010E+02,    0.19335E+01
    0.21970E+02,    0.40130E+02,    0.19903E+01
    0.22010E+02,    0.41260E+02,    0.20479E+01
    0.22070E+02,    0.42370E+02,    0.21047E+01
    0.22230E+02,    0.43470E+02,    0.21614E+01
    0.22330E+02,    0.44480E+02,    0.22135E+01
    0.22380E+02,    0.45480E+02,    0.22652E+01
    0.22430E+02,    0.46440E+02,    0.23150E+01
    0.13140E+02,    0.29970E+02,    0.14657E+01
    0.13180E+02,    0.31490E+02,    0.15386E+01
    0.13290E+02,    0.32770E+02,    0.16002E+01
    0.13340E+02,    0.34040E+02,    0.16612E+01
    0.13400E+02,    0.35300E+02,    0.17218E+01
    0.13380E+02,    0.36470E+02,    0.17779E+01
    0.13350E+02,    0.37490E+02,    0.18269E+01
    0.13350E+02,    0.38440E+02,    0.18729E+01
    0.13390E+02,    0.39340E+02,    0.19172E+01
    0.13410E+02,    0.40200E+02,    0.19599E+01
    0.13440E+02,    0.41040E+02,    0.20021E+01
    0.13440E+02,    0.41830E+02,    0.20421E+01
    0.13420E+02,    0.42590E+02,    0.20811E+01
    0.13350E+02,    0.43400E+02,    0.21229E+01
    0.13610E+02,    0.44110E+02,    0.21629E+01
    0.13720E+02,    0.44760E+02,    0.21990E+01
    0.13760E+02,    0.45400E+02,    0.22345E+01
    0.13780E+02,    0.46040E+02,    0.22703E+01
    0.13760E+02,    0.46650E+02,    0.23047E+01
    0.13730E+02,    0.47220E+02,    0.23371E+01
    0.13710E+02,    0.47760E+02,    0.23682E+01
    0.38000E+01,    0.34200E+02,    0.16241E+01
    0.55100E+01,    0.34260E+02,    0.16338E+01
    0.70600E+01,    0.34350E+02,    0.16453E+01
    0.84200E+01,    0.34260E+02,    0.16485E+01
    0.97000E+01,    0.34120E+02,    0.16487E+01
    0.10910E+02,    0.34010E+02,    0.16494E+01
    0.12140E+02,    0.34030E+02,    0.16558E+01
    0.98000E+01,    0.35450E+02,    0.17096E+01
    0.99800E+01,    0.36650E+02,    0.17650E+01
    0.10130E+02,    0.37780E+02,    0.18173E+01
    0.10390E+02,    0.38680E+02,    0.18605E+01
    0.10470E+02,    0.39540E+02,    0.19009E+01
    0.10540E+02,    0.40430E+02,    0.19433E+01
    0.10640E+02,    0.41300E+02,    0.19858E+01
    0.10770E+02,    0.42240E+02,    0.20336E+01
    0.10490E+02,    0.43030E+02,    0.20689E+01
    0.10420E+02,    0.43750E+02,    0.21050E+01
    0.10450E+02,    0.44420E+02,    0.21414E+01
    0.10480E+02,    0.45050E+02,    0.21771E+01
    0.10400E+02,    0.45730E+02,    0.22152E+01
    0.10600E+02,    0.46390E+02,    0.22585E+01
    0.10730E+02,    0.46980E+02,    0.22973E+01
    0.10840E+02,    0.47530E+02,    0.23339E+01
    0.10920E+02,    0.48070E+02,    0.23700E+01
    0.38400E+01,    0.36110E+02,    0.16964E+01
    0.54900E+01,    0.36010E+02,    0.17037E+01
    0.71500E+01,    0.36130E+02,    0.17210E+01
    0.85600E+01,    0.35670E+02,    0.17114E+01
    0.27100E+01,    0.39050E+02,    0.17714E+01
    0.40500E+01,    0.39230E+02,    0.17942E+01
    0.54400E+01,    0.39060E+02,    0.18113E+01
    0.65800E+01,    0.38860E+02,    0.18216E+01
    0.75600E+01,    0.39030E+02,    0.18419E+01
    0.85200E+01,    0.39470E+02,    0.18735E+01
    0.95500E+01,    0.39590E+02,    0.18923E+01
    0.99100E+01,    0.45060E+02,    0.21667E+01
    0.95900E+01,    0.40500E+02,    0.19338E+01
    0.97100E+01,    0.41380E+02,    0.19759E+01
    0.98000E+01,    0.42210E+02,    0.20165E+01
    0.96500E+01,    0.43000E+02,    0.20520E+01
    0.96100E+01,    0.43790E+02,    0.20912E+01
    0.98000E+01,    0.44500E+02,    0.21331E+01
    0.52000E+01,    0.39950E+02,    0.18333E+01
    0.57900E+01,    0.40260E+02,    0.18542E+01
    0.64800E+01,    0.40540E+02,    0.18784E+01
    0.72700E+01,    0.40590E+02,    0.18971E+01
    0.79300E+01,    0.40490E+02,    0.19061E+01
    0.86100E+01,    0.40600E+02,    0.19226E+01
    0.91300E+01,    0.43240E+02,    0.20527E+01
    0.87900E+01,    0.43490E+02,    0.20565E+01
    0.67500E+01,    0.41390E+02,    0.19135E+01
    0.70100E+01,    0.41070E+02,    0.19089E+01
    0.73600E+01,    0.41350E+02,    0.19275E+01
    0.77400E+01,    0.41640E+02,    0.19480E+01
    0.82300E+01,    0.41890E+02,    0.19700E+01
    0.85900E+01,    0.42440E+02,    0.20024E+01
    0.88600E+01,    0.42890E+02,    0.20294E+01
    0.78400E+01,    0.42330E+02,    0.19786E+01
    0.74500E+01,    0.42000E+02,    0.19547E+01
    0.70800E+01,    0.41690E+02,    0.19330E+01
    0.81900E+01,    0.42750E+02,    0.20061E+01
